"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.655829875E0,2.310037231E1,-1.027604294E1,-3.523030090E1,4.336356029E1
2.665814875E0,2.306835938E1,-1.024305916E1,-3.519616699E1,4.331096439E1
2.675798875E0,2.312008667E1,-1.022299576E1,-3.542141724E1,4.351694898E1
2.685783875E0,2.323072815E1,-1.019892502E1,-3.521520233E1,4.340271048E1
2.695767875E0,2.308097839E1,-1.017900658E1,-3.545407104E1,4.351246824E1
2.705751875E0,2.303674316E1,-1.015779495E1,-3.536421204E1,4.341082615E1
2.715736875E0,2.306733704E1,-1.025513077E1,-3.540113831E1,4.347999929E1
2.725720875E0,2.313366699E1,-1.017977715E1,-3.523117828E1,4.335931658E1
2.735705875E0,2.313107300E1,-1.015219498E1,-3.524619293E1,4.336366817E1
2.745689875E0,2.302658081E1,-9.992547989E0,-3.522588348E1,4.325433280E1
2.755674875E0,2.310461426E1,-1.009245682E1,-3.535246277E1,4.342208549E1
2.765658875E0,2.308731079E1,-1.010834885E1,-3.539969635E1,4.345504732E1
2.775642875E0,2.318222046E1,-1.030808258E1,-3.537100220E1,4.352906740E1
2.785627875E0,2.322270203E1,-1.029145432E1,-3.535711670E1,4.353542951E1
2.795611875E0,2.312132263E1,-1.020872688E1,-3.540476227E1,4.350069949E1
2.805596875E0,2.311608887E1,-1.016954994E1,-3.532556152E1,4.342428592E1
2.815580875E0,2.318066406E1,-1.033340454E1,-3.527425385E1,4.345567190E1
2.825565875E0,2.304475403E1,-1.013391685E1,-3.502169800E1,4.313092034E1
2.835549875E0,2.310292053E1,-1.015156555E1,-3.499610138E1,4.314540917E1
2.845533875E0,2.310845947E1,-1.024768257E1,-3.509790039E1,4.325365313E1
2.855518875E0,2.318836975E1,-1.015963364E1,-3.499651337E1,4.319345547E1
2.865502875E0,2.302050781E1,-1.002963829E1,-3.519474030E1,4.323432859E1
2.875487875E0,2.305563354E1,-1.013386154E1,-3.502524567E1,4.313960155E1
2.885471875E0,2.311729431E1,-1.028742027E1,-3.530835724E1,4.343869707E1
2.895456875E0,2.308244324E1,-1.035609055E1,-3.509825897E1,4.326587085E1
2.905440875E0,2.311488342E1,-1.023861694E1,-3.496097565E1,4.314390954E1
2.915424875E0,2.309832764E1,-1.036655426E1,-3.504952240E1,4.323733580E1
2.925409875E0,2.320727539E1,-1.021207809E1,-3.524024963E1,4.341358502E1
2.935393875E0,2.317268372E1,-1.012450409E1,-3.519323730E1,4.333639124E1
2.945378875E0,2.310179138E1,-1.010193634E1,-3.525354767E1,4.334229466E1
2.955362875E0,2.309754944E1,-1.013549805E1,-3.524163055E1,4.333817757E1
2.965347875E0,2.310543823E1,-1.002404785E1,-3.518498993E1,4.327038627E1
2.975331875E0,2.312785339E1,-1.007544136E1,-3.497455597E1,4.312344706E1
2.985315917E0,2.305192566E1,-1.012744522E1,-3.534631348E1,4.339721534E1
2.995300917E0,2.300660706E1,-1.023521805E1,-3.513201141E1,4.322408915E1
3.005284917E0,2.304985046E1,-1.018254662E1,-3.525197601E1,4.333222444E1
3.015269917E0,2.311663818E1,-1.018748856E1,-3.515572357E1,4.329074709E1
3.025253917E0,2.300645447E1,-1.017251015E1,-3.512284851E1,4.320175225E1
3.035238917E0,2.297578430E1,-1.022464943E1,-3.514794159E1,4.321814339E1
3.045222917E0,2.297279358E1,-1.012045097E1,-3.530047607E1,4.331623695E1
3.055207917E0,2.308657837E1,-1.025757027E1,-3.508904266E1,4.323712252E1
3.065191917E0,2.309573364E1,-1.005713081E1,-3.529077911E1,4.335894237E1
3.075175917E0,2.327783203E1,-1.014437103E1,-3.534266663E1,4.351861455E1
3.085160917E0,2.325012207E1,-1.005855560E1,-3.523671722E1,4.339779900E1
3.095144917E0,2.316992188E1,-1.000235558E1,-3.511656952E1,4.324425802E1
3.105129917E0,2.303834534E1,-1.007815361E1,-3.500828552E1,4.310353340E1
3.115113917E0,2.311755371E1,-1.007393265E1,-3.520294952E1,4.330303758E1
3.125098917E0,2.295944214E1,-9.995826721E0,-3.521866608E1,4.321350455E1
3.135082917E0,2.299522400E1,-9.989109039E0,-3.528437805E1,4.328452334E1
3.145066917E0,2.299972534E1,-9.918951035E0,-3.515225220E1,4.316310682E1
3.155051917E0,2.305766296E1,-1.010450935E1,-3.505259705E1,4.315601337E1
3.165035917E0,2.287594604E1,-9.977775574E0,-3.538259888E1,4.329888239E1
3.175020917E0,2.294400024E1,-1.004286385E1,-3.519643402E1,4.319809289E1
3.185004917E0,2.292112732E1,-9.943288803E0,-3.507973480E1,4.306779381E1
3.194989917E0,2.303193665E1,-9.985433578E0,-3.524230957E1,4.326891925E1
3.204973917E0,2.303311157E1,-9.883039474E0,-3.520100403E1,4.321237534E1
3.214957917E0,2.310017395E1,-1.005705452E1,-3.519873047E1,4.328640674E1
3.224942917E0,2.311027527E1,-1.008439827E1,-3.518089294E1,4.328365904E1
3.234926917E0,2.311557007E1,-1.010308647E1,-3.491063690E1,4.307150456E1
